Model,Language,Category,True Positives (TP),False Positives (FP),False Negatives (FN),Precision,Recall,F1-score
GPT-4,Python,Bloaters,19,2,9,0.9047619047619048,0.6785714285714286,0.7755102040816326
DeepSeek,Python,Bloaters,11,13,17,0.4583333333333333,0.39285714285714285,0.4230769230769231
GPT-4,Python,Object-Orientation Abusers,6,1,9,0.8571428571428571,0.4,0.5454545454545455
DeepSeek,Python,Object-Orientation Abusers,9,19,6,0.32142857142857145,0.6,0.41860465116279066
GPT-4,Python,Change Preventers,5,0,45,1.0,0.1,0.18181818181818182
DeepSeek,Python,Change Preventers,0,3,50,0.0,0.0,0.0
GPT-4,Python,Dispensables,16,4,5,0.8,0.7619047619047619,0.7804878048780488
DeepSeek,Python,Dispensables,14,8,7,0.6363636363636364,0.6666666666666666,0.6511627906976744
GPT-4,Python,Couplers,12,3,5,0.8,0.7058823529411765,0.7500000000000001
DeepSeek,Python,Couplers,9,2,8,0.8181818181818182,0.5294117647058824,0.6428571428571428
GPT-4,Java,Bloaters,18,4,6,0.8181818181818182,0.75,0.7826086956521738
DeepSeek,Java,Bloaters,5,19,19,0.20833333333333334,0.20833333333333334,0.20833333333333334
GPT-4,Java,Object-Orientation Abusers,5,2,4,0.7142857142857143,0.5555555555555556,0.6250000000000001
DeepSeek,Java,Object-Orientation Abusers,6,15,3,0.2857142857142857,0.6666666666666666,0.4
GPT-4,Java,Change Preventers,0,0,60,0.0,0.0,0.0
DeepSeek,Java,Change Preventers,0,6,60,0.0,0.0,0.0
GPT-4,Java,Dispensables,13,2,6,0.8666666666666667,0.6842105263157895,0.7647058823529413
DeepSeek,Java,Dispensables,13,5,6,0.7222222222222222,0.6842105263157895,0.7027027027027027
GPT-4,Java,Couplers,14,1,2,0.9333333333333333,0.875,0.9032258064516129
DeepSeek,Java,Couplers,11,3,5,0.7857142857142857,0.6875,0.7333333333333334
GPT-4,JavaScript,Bloaters,12,11,13,0.5217391304347826,0.48,0.4999999999999999
DeepSeek,JavaScript,Bloaters,5,17,20,0.22727272727272727,0.2,0.21276595744680854
GPT-4,JavaScript,Object-Orientation Abusers,5,1,3,0.8333333333333334,0.625,0.7142857142857143
DeepSeek,JavaScript,Object-Orientation Abusers,5,15,3,0.25,0.625,0.35714285714285715
GPT-4,JavaScript,Change Preventers,0,0,50,0.0,0.0,0.0
DeepSeek,JavaScript,Change Preventers,0,5,50,0.0,0.0,0.0
GPT-4,JavaScript,Dispensables,12,7,5,0.631578947368421,0.7058823529411765,0.6666666666666667
DeepSeek,JavaScript,Dispensables,11,14,6,0.44,0.6470588235294118,0.5238095238095238
GPT-4,JavaScript,Couplers,14,1,2,0.9333333333333333,0.875,0.9032258064516129
DeepSeek,JavaScript,Couplers,11,4,5,0.7333333333333333,0.6875,0.7096774193548386
GPT-4,C++,Bloaters,13,8,12,0.6190476190476191,0.52,0.5652173913043478
DeepSeek,C++,Bloaters,7,19,18,0.2692307692307692,0.28,0.27450980392156865
GPT-4,C++,Object-Orientation Abusers,6,1,3,0.8571428571428571,0.6666666666666666,0.75
DeepSeek,C++,Object-Orientation Abusers,5,13,4,0.2777777777777778,0.5555555555555556,0.3703703703703704
GPT-4,C++,Change Preventers,0,0,35,0.0,0.0,0.0
DeepSeek,C++,Change Preventers,0,5,35,0.0,0.0,0.0
GPT-4,C++,Dispensables,9,4,6,0.6923076923076923,0.6,0.6428571428571429
DeepSeek,C++,Dispensables,9,13,6,0.4090909090909091,0.6,0.4864864864864865
GPT-4,C++,Couplers,18,0,1,1.0,0.9473684210526315,0.972972972972973
DeepSeek,C++,Couplers,13,4,6,0.7647058823529411,0.6842105263157895,0.7222222222222222
